old_url,title,date,category,action,new_url,notes
/was-macht-eine-website-erfolgreiche/,Was macht eine Website erfolgreich?,2011-08-02,Blog,A-rewrite,/ratgeber/unternehmenswebsites/,Zeitloses Thema - modernisieren
/bringt-blogging-ihr-unternehmen-weiter/,Bringt Blogging Ihr Unternehmen weiter?,2011-07-20,Blog/Marketing,C-redirect,/ratgeber/,Veraltet
/tipps-zur-steigerung-des-traffic/,Tipps zur Steigerung des Traffic,2011-09-05,Blog/Traffic,C-redirect,/ratgeber/seo/,Veraltet - generische Tipps
/tutorial-7-tipps-fur-nachhaltiges-linkbuilding/,7 Tipps für nachhaltiges Linkbuilding,2011-09-03,Blog/SEO,C-redirect,/ratgeber/seo/,Veraltet - Linkbuilding-Praktiken geändert
/5-tipps-fur-ein-besseres-google-ranking-in-der-lokalen-ergebnissanzeigen/,5 Tipps für Local SEO,2011-10-07,Blog/SEO,B-merge,/ratgeber/seo/,In SEO-Ratgeber integrieren
/teil-1-landing-pages-damit-aus-besuchern-kunden-werden/,Landing Pages Teil 1,2011-10-21,Blog/Marketing,B-merge,/ratgeber/unternehmenswebsites/,Mit Teil 2 zusammenführen
/teil-2-tutorial-erfolgreiche-landingpages-erstellen/,Landing Pages Teil 2,2011-11-03,Blog/Marketing,B-merge,/ratgeber/unternehmenswebsites/,Mit Teil 1 zusammenführen
/7-tipps-bilder-fur-suchmaschinen-optimieren/,7 Tipps: Bilder für SEO optimieren,2011-11-17,Blog/SEO,B-merge,/ratgeber/seo/,In SEO-Ratgeber integrieren
/schritt-fuer-schritt-anleitung-zum-erfolgreichen-blog-zum-erfolgreich-teil1en-blog/,Blog Anleitung Teil 1,2012-08-12,Blog/Marketing,C-redirect,/ratgeber/,Veraltet - Blog-Fokus
/blog-marketing-ideen-die-verkaufen/,Blog Anleitung Teil 2,2012-08-13,Blog/Marketing,C-redirect,/ratgeber/,Veraltet - Blog-Fokus
/schritt-fur-schritt-anleitung-zum-erfolgreichen-blog-teil-3-von-7/,Blog Anleitung Teil 3,2012-08-17,Blog/Marketing,C-redirect,/ratgeber/,Veraltet - Blog-Fokus
/wie-sie-tragende-saulen-fur-ihre-website-aufbauen-und-daruber-kontinuierlich-neue-leser-und-neue-backlinks-gewinnen/,Tragende Säulen für Website,2012-08-19,Blog/Linkbuilding,C-redirect,/ratgeber/seo/,Veraltet - Linkbuilding
/den-optimalen-domainnamen-finden/,Wie man den optimalen Domainnamen findet,2012-09-03,Blog/SEO,B-merge,/ratgeber/unternehmenswebsites/,In Website-Ratgeber integrieren
/mit-automatismen-mehr-handlungsspielraeume/,Mit Automatismen mehr Handlungsspielräume,2013-10-17,Automatisierung,C-redirect,/ratgeber/plattformen-webapps/,Thematisch zu Plattformen
/wofur-ist-eine-bewerbungs-website-sinnvoll/,Wofür ist eine Bewerbungs-Website sinnvoll?,2011-12-10,Blog,C-redirect,/ratgeber/,Off-topic
/geld-verdienen-mit-der-eigenen-website/,Geld verdienen mit der eigenen Website,2011-12-22,Blog,C-redirect,/ratgeber/,Off-topic
/10-tipps-fur-eine-erfolgreiche-adwords-kampagne/,10 Tipps für Adwords,2012-01-03,Blog/Marketing,A-rewrite,/ratgeber/sea/,Zeitloses Thema - modernisieren zu Google Ads
/google-anaystiks-verstehen-und-richtig-ausnutzen/,Google Analytics verstehen,2012-01-23,Blog/SEO,B-merge,/ratgeber/seo/,In SEO-Ratgeber integrieren
/auftragsaquise-fur-freiberufler-und-freelancer/,Auftragsaquise für Freiberufler,2012-01-24,Blog/Marketing,C-redirect,/ratgeber/,Off-topic
/einen-firmen-blog-als-marketing-kanal-nutzen/,Firmenblog als Marketing Kanal,2012-01-25,Blog/Marketing,C-redirect,/ratgeber/,Veraltet - Blog-Fokus
/vertrauen-ist-die-grundlage-fur-erfolg-im-internet/,Vertrauen als Grundlage,2012-04-11,Blog,B-merge,/ratgeber/unternehmenswebsites/,In Website-Ratgeber integrieren
/google-adwords-optimieren/,Google Adwords optimieren,2012-04-19,Blog/Marketing,A-rewrite,/ratgeber/sea/,Zeitloses Thema - modernisieren zu Google Ads
/was-ist-wordpress-eine-einfuehrung/,Was ist WordPress?,2024-06-11,WordPress,B-merge,/ratgeber/unternehmenswebsites/,WordPress-Serie zusammenführen
/warum-wordpress-nutzen/,Die Vorteile von WordPress,2024-06-11,WordPress,B-merge,/ratgeber/unternehmenswebsites/,WordPress-Serie zusammenführen
/erste-schritte-mit-wordpress/,Content Management mit WordPress,2024-06-11,WordPress,B-merge,/ratgeber/unternehmenswebsites/,WordPress-Serie zusammenführen
/wordpress-abc-die-essenzielle-terminologie-fuer-website-betreiber/,WordPress ABC Terminologie,2024-06-12,WordPress,B-merge,/ratgeber/unternehmenswebsites/,WordPress-Serie zusammenführen
/die-bedeutung-von-professionellem-webdesign-fuer-ihr-unternehmen/,Bedeutung von professionellem Webdesign,2024-06-12,Design/WordPress,A-rewrite,/ratgeber/unternehmenswebsites/,Kernthema - modernisieren
/wie-sie-mit-massgeschneiderten-wordpress-templates-ihre-marke-staerken/,WordPress Templates,2024-06-12,Programmierung/WordPress,B-merge,/ratgeber/unternehmenswebsites/,WordPress-Serie zusammenführen
/custom-wordpress-themes/,Custom WordPress Themes,2024-06-16,Programmierung/WordPress,B-merge,/ratgeber/unternehmenswebsites/,WordPress-Serie zusammenführen
/wordpress-child-theme/,WordPress Child-Theme,2024-06-18,Programmierung/WordPress,C-redirect,/ratgeber/unternehmenswebsites/,Zu technisch für Entscheider
/mit-page-builder-plugins-websites-individualisieren/,Page Builder Plugins,2024-06-20,Programmierung/WordPress,C-redirect,/ratgeber/unternehmenswebsites/,Zu technisch für Entscheider
/technische-herausforderungen-wordpress/,Technische Herausforderungen WordPress,2024-06-26,Programmierung/WordPress,B-merge,/ratgeber/plattformen-webapps/,In Plattformen-Ratgeber
/leistungsoptimierung-fuer-wordpress-webseiten/,Leistungsoptimierung WordPress,2024-06-20,Programmierung/WordPress,B-merge,/ratgeber/seo/,Performance = SEO-relevant
/wordpress-sicher-machen-risiken-erkennen-und-minimieren/,WordPress Sicherheit,2024-06-27,Programmierung/WordPress,A-rewrite,/ratgeber/plattformen-webapps/,Wichtiges Thema
/wordpress-website-fuer-hohen-traffic-und-schnelle-ladezeiten/,WordPress skalieren,2024-06-28,Programmierung/WordPress,B-merge,/ratgeber/plattformen-webapps/,In Plattformen-Ratgeber
/wordpress-website-mit-caching-optimieren/,WordPress Caching,2024-06-29,Programmierung/WordPress,B-merge,/ratgeber/seo/,Performance = SEO-relevant
/9-effektive-content-marketing-formate-die-sie-kennen-sollten/,9 Content Marketing Formate,2024-06-26,Marketing,C-redirect,/ratgeber/,Zu generisch
/wordpress-backup-strategie-plugin-oder-server-seitige-loesungen/,WordPress Backup Strategien,2024-06-30,WordPress/Hosting,B-merge,/ratgeber/plattformen-webapps/,In Plattformen-Ratgeber
/leitfaden-nach-dem-launch-ihrer-webseite/,Leitfaden Nach dem Launch,2024-07-06,Marketing/SEO,A-rewrite,/ratgeber/unternehmenswebsites/,Wichtiger Leitfaden
/wordpress-ladezeiten-optimieren/,Ladezeiten optimieren,2024-07-17,Programmierung/SEO,A-rewrite,/ratgeber/seo/,SEO-Kernthema
/wordpress-caching-fuer-schnelle-webseiten/,WordPress Caching meistern,2024-07-19,Programmierung/SEO,B-merge,/ratgeber/seo/,Mit Ladezeiten-Artikel zusammen
/bilder-optimieren-ohne-qualitaetsverlust-wordpress/,Bilder optimieren WordPress,2024-07-23,Programmierung/SEO,A-rewrite,/ratgeber/seo/,SEO-Kernthema
/cdn-integration-in-wordpress-schnelle-webseite/,CDN Integration WordPress,2024-07-25,Programmierung/SEO,B-merge,/ratgeber/seo/,In Performance-Ratgeber
/optimales-wordpress-hosting-fuer-hoechstleistung/,WordPress Hosting,2024-07-27,Programmierung/SEO,B-merge,/ratgeber/plattformen-webapps/,In Plattformen-Ratgeber
/der-ultimative-leitfaden-zum-website-erstellen-2024/,Website Erstellen Leitfaden 2024,2024-08-01,Webdesign,A-rewrite,/ratgeber/unternehmenswebsites/,Hauptartikel für Unternehmenswebsites
/wordpress-website-erstellen-der-ultimative-guide-fuer-anfaenger-2024/,WordPress Website erstellen Guide,2024-08-03,Webdesign/WordPress,B-merge,/ratgeber/unternehmenswebsites/,Mit Website-Leitfaden zusammen
/html-website-erstellen/,HTML Website erstellen,2024-08-07,Webdesign,C-redirect,/ratgeber/unternehmenswebsites/,Zu technisch/off-topic
/10-unverzichtbare-elemente-einer-erfolgreichen-website-fuer-kleinunternehmen/,10 Elemente erfolgreicher Website,2024-08-18,Webdesign,A-rewrite,/ratgeber/unternehmenswebsites/,Guter Ratgeber-Artikel
/die-kunst-des-responsiven-webdesigns-techniken-und-best-practices-fuer-2024/,Responsives Webdesign 2024,2024-08-21,Webdesign,A-rewrite,/ratgeber/unternehmenswebsites/,Wichtiges Thema
/ux-ui-design-prinzipien-wie-sie-benutzerfreundliche-websites-erstellen/,UX/UI Design Prinzipien,2024-08-23,Webdesign,A-rewrite,/ratgeber/unternehmenswebsites/,Wichtiges Thema
/webdesign-trends-2024-eine-umfassende-analyse-und-praktische-anwendung/,Webdesign Trends 2024,2024-08-26,Webdesign,C-redirect,/ratgeber/unternehmenswebsites/,Datiert schnell
/barrierefreies-webdesign-wie-sie-websites-fuer-alle-nutzer-zugaenglich-machen/,Barrierefreies Webdesign,2024-08-28,Webdesign,A-rewrite,/ratgeber/unternehmenswebsites/,Wichtiges Thema (WCAG)
/die-rolle-von-ki-im-modernen-webdesign-chancen-und-herausforderungen/,KI im Webdesign,2024-08-30,Webdesign,C-redirect,/ratgeber/unternehmenswebsites/,Zu spekulativ
